txn_id,from_account,to_account,amount,timestamp,channel,tag
TXN000293,ACC-G0067,ACC-G0071,170.15,2026-05-05T00:26:01,ACH,
TXN000551,ACC-G0122,ACC-G0111,1857.45,2026-05-05T02:13:21,Cheque,
TXN000449,ACC-G0005,ACC-G0103,7124.91,2026-05-05T04:45:21,ACH,
TXN001095,ACC-XF005,ACC-X003,218300.0,2026-05-05T05:38:00,ACH,stealth-in
TXN000337,ACC-G0083,ACC-G0085,167.16,2026-05-05T06:00:27,ACH,
TXN000482,ACC-G0054,ACC-G0107,980.25,2026-05-05T06:16:59,ACH,
TXN000637,ACC-G0135,ACC-F002,1337.01,2026-05-05T06:22:02,ACH,
TXN000073,ACC-G0034,ACC-G0009,8044.12,2026-05-05T07:54:50,ACH,
TXN000965,ACC-G0200,ACC-G0035,1431.0,2026-05-05T08:37:26,ACH,
TXN000348,ACC-G0086,ACC-G0046,2240.01,2026-05-05T08:37:37,Wire,
TXN000075,ACC-G0034,ACC-G0009,386.2,2026-05-05T08:53:44,Wire,
TXN000740,ACC-G0051,ACC-G0157,1707.77,2026-05-05T09:40:17,Cheque,
TXN000563,ACC-G0124,ACC-F006,30737.75,2026-05-05T10:02:31,Credit Card,
TXN000797,ACC-G0146,ACC-G0161,174.87,2026-05-05T10:40:53,Credit Card,
TXN000801,ACC-G0061,ACC-G0163,472.58,2026-05-05T10:56:44,ACH,
TXN000328,ACC-G0143,ACC-G0080,1136.79,2026-05-05T11:04:15,Cheque,
TXN000824,ACC-G0171,ACC-G0052,931.26,2026-05-05T11:44:37,Bitcoin,
TXN000478,ACC-G0190,ACC-G0107,565.15,2026-05-05T12:14:04,Cheque,
TXN000114,ACC-G0159,ACC-G0021,1829.9,2026-05-05T12:58:55,ACH,
TXN000279,ACC-G0066,ACC-G0175,18692.1,2026-05-05T13:25:37,Credit Card,
TXN000029,ACC-G0090,ACC-G0003,689.45,2026-05-05T13:51:11,ACH,
TXN000569,ACC-G0172,ACC-G0124,231.04,2026-05-05T14:20:26,Credit Card,
TXN001081,ACC-T001,ACC-P001,5590.0,2026-05-05T14:31:00,ACH,ato-history
TXN000893,ACC-G0184,ACC-G0059,493.95,2026-05-05T14:59:42,Credit Card,
TXN000689,ACC-G0149,ACC-G0076,1324.99,2026-05-05T15:26:55,Cheque,
TXN001097,ACC-XF007,ACC-X004,165200.0,2026-05-05T15:27:00,ACH,stealth-in
TXN000268,ACC-G0053,ACC-G0062,732.22,2026-05-05T15:43:09,ACH,
TXN000295,ACC-G0073,ACC-G0047,24165.5,2026-05-05T16:05:02,Cash,
TXN000017,ACC-F006,ACC-G0200,11070.27,2026-05-05T16:14:55,Credit Card,
TXN000371,ACC-G0182,ACC-G0086,527.71,2026-05-05T16:41:31,Reinvestment,
TXN000852,ACC-G0175,ACC-G0177,790.13,2026-05-05T16:48:19,Wire,
TXN000958,ACC-G0198,ACC-G0167,1519.04,2026-05-05T16:53:26,ACH,
TXN000615,ACC-G0052,ACC-G0134,2227.64,2026-05-05T17:06:08,ACH,
TXN001012,ACC-V001,ACC-P002,3850.0,2026-05-05T17:27:00,ACH,victim-history
TXN000357,ACC-G0086,ACC-G0156,726.11,2026-05-05T17:33:56,Credit Card,
TXN000299,ACC-G0074,ACC-G0019,1609.11,2026-05-05T17:37:06,ACH,
TXN000107,ACC-G0152,ACC-G0018,2613.93,2026-05-05T18:28:11,Cash,
TXN000776,ACC-G0028,ACC-G0159,482.09,2026-05-05T19:19:10,Wire,
TXN000761,ACC-G0158,ACC-G0008,667.31,2026-05-05T19:25:11,Wire,
TXN000808,ACC-G0166,ACC-G0189,1987.63,2026-05-05T20:30:22,ACH,
TXN001099,ACC-XF001,ACC-X005,197100.0,2026-05-06T01:16:00,ACH,stealth-in
TXN000841,ACC-G0175,ACC-G0077,6385.85,2026-05-06T03:20:02,Cheque,
TXN000894,ACC-G0184,ACC-G0059,1400.03,2026-05-06T05:16:10,Credit Card,
TXN000538,ACC-G0121,ACC-G0094,3248.07,2026-05-06T05:42:22,Wire,
TXN000200,ACC-G0010,ACC-G0037,27704.49,2026-05-06T07:06:33,ACH,
TXN000746,ACC-G0158,ACC-G0051,1035.4,2026-05-06T08:01:31,Cheque,
TXN000195,ACC-G0035,ACC-G0137,3314.73,2026-05-06T08:34:31,ACH,
TXN000389,ACC-G0088,ACC-G0182,1039.69,2026-05-06T08:45:41,Wire,
TXN000744,ACC-G0124,ACC-G0158,4354.74,2026-05-06T08:59:02,ACH,
TXN001107,ACC-X001,ACC-X002,132344.0,2026-05-06T09:00:00,ACH,stealth-hop
TXN000930,ACC-G0143,ACC-G0196,3758.43,2026-05-06T09:38:31,ACH,
TXN001101,ACC-XF003,ACC-X006,208600.0,2026-05-06T10:05:00,ACH,stealth-in
TXN000926,ACC-G0121,ACC-G0196,377.33,2026-05-06T10:12:30,Cheque,
TXN000309,ACC-G0161,ACC-G0077,1759.49,2026-05-06T10:28:56,ACH,
TXN000253,ACC-G0047,ACC-G0057,265.51,2026-05-06T10:45:18,ACH,
TXN000613,ACC-G0066,ACC-G0134,10041.86,2026-05-06T10:56:09,Credit Card,
TXN001108,ACC-X002,ACC-X003,120681.0,2026-05-06T11:00:00,ACH,stealth-hop
TXN000340,ACC-G0156,ACC-G0084,4619.39,2026-05-06T11:24:23,ACH,
TXN000830,ACC-G0172,ACC-G0026,5853.8,2026-05-06T11:43:20,ACH,
TXN000944,ACC-G0197,ACC-G0108,333.47,2026-05-06T12:25:48,ACH,
TXN000686,ACC-G0149,ACC-G0076,585.57,2026-05-06T13:12:35,Cheque,
TXN000426,ACC-G0123,ACC-G0102,5613.16,2026-05-06T13:44:40,Cheque,
TXN000382,ACC-G0197,ACC-G0087,5230.02,2026-05-06T13:48:49,ACH,
TXN001109,ACC-X003,ACC-X004,159359.0,2026-05-06T14:00:00,ACH,stealth-hop
TXN000741,ACC-G0157,ACC-G0051,343.2,2026-05-06T14:02:38,ACH,
TXN000117,ACC-G0021,ACC-G0146,320.83,2026-05-06T14:37:09,ACH,
TXN000814,ACC-G0025,ACC-G0168,2402.55,2026-05-06T15:01:05,ACH,
TXN000229,ACC-G0047,ACC-G0203,1235.09,2026-05-06T15:02:36,Bitcoin,
TXN000459,ACC-G0105,ACC-G0073,1778.99,2026-05-06T15:36:54,ACH,
TXN000778,ACC-G0159,ACC-G0116,5634.94,2026-05-06T16:18:11,Bitcoin,
TXN000324,ACC-G0051,ACC-G0080,1675.29,2026-05-06T16:35:44,Cash,
TXN000896,ACC-G0186,ACC-G0032,1979.99,2026-05-06T16:52:17,Credit Card,
TXN000450,ACC-G0103,ACC-G0005,599.12,2026-05-06T17:35:04,Credit Card,
TXN000577,ACC-G0166,ACC-G0129,715.15,2026-05-06T17:35:25,Cheque,
TXN000803,ACC-G0014,ACC-G0164,3972.95,2026-05-06T17:38:48,ACH,
TXN000792,ACC-G0184,ACC-G0159,414.69,2026-05-06T17:57:27,Credit Card,
TXN000079,ACC-G0010,ACC-G0038,429.35,2026-05-06T18:51:38,ACH,
TXN000932,ACC-G0196,ACC-G0147,1077.82,2026-05-06T18:57:32,ACH,
TXN000046,ACC-G0003,ACC-G0027,275.85,2026-05-06T19:36:42,Cheque,
TXN001103,ACC-XF005,ACC-X007,171500.0,2026-05-06T19:54:00,ACH,stealth-in
TXN000153,ACC-G0054,ACC-G0027,3565.39,2026-05-06T20:02:53,Cheque,
TXN001105,ACC-XF007,ACC-X008,192800.0,2026-05-07T05:43:00,ACH,stealth-in
TXN000995,ACC-G0108,ACC-G0206,564.61,2026-05-07T07:39:40,ACH,
TXN000027,ACC-G0003,ACC-G0090,9112.65,2026-05-07T07:48:35,ACH,
TXN000812,ACC-G0167,ACC-G0205,359.33,2026-05-07T07:50:42,Cheque,
TXN000856,ACC-G0127,ACC-G0177,133.64,2026-05-07T08:08:01,ACH,
TXN000806,ACC-G0165,ACC-G0143,2215.21,2026-05-07T08:14:53,ACH,
TXN000795,ACC-G0146,ACC-G0161,4786.65,2026-05-07T09:24:18,Credit Card,
TXN000575,ACC-G0181,ACC-G0128,1685.28,2026-05-07T09:42:15,Credit Card,
TXN001111,ACC-X005,ACC-X006,141912.0,2026-05-07T10:00:00,ACH,stealth-hop
TXN000446,ACC-G0091,ACC-G0103,391.55,2026-05-07T10:05:06,ACH,
TXN000436,ACC-G0007,ACC-G0102,246.17,2026-05-07T10:11:43,ACH,
TXN000238,ACC-G0095,ACC-G0051,5712.29,2026-05-07T10:45:51,Wire,
TXN000291,ACC-G0071,ACC-G0067,1056.32,2026-05-07T10:50:19,Credit Card,
TXN000749,ACC-G0158,ACC-G0051,485.42,2026-05-07T11:14:04,Cheque,
TXN000745,ACC-G0158,ACC-G0124,938.34,2026-05-07T12:21:39,Wire,
TXN000037,ACC-G0011,ACC-G0003,1507.74,2026-05-07T12:56:14,Cheque,
TXN000355,ACC-G0086,ACC-G0156,288.6,2026-05-07T12:58:52,Cheque,
TXN001114,ACC-X003,ACC-X004,88097.13,2026-05-07T14:00:00,ACH,stealth-hop
TXN000897,ACC-G0032,ACC-G0186,709.9,2026-05-07T14:00:33,Wire,
TXN000642,ACC-G0137,ACC-G0026,616.33,2026-05-07T14:06:36,Credit Card,
TXN000716,ACC-G0157,ACC-G0168,22138.99,2026-05-07T14:11:41,Cheque,
TXN000787,ACC-G0108,ACC-G0159,3600.11,2026-05-07T14:14:50,Cash,
TXN000441,ACC-G0127,ACC-G0103,2395.16,2026-05-07T15:21:23,ACH,
TXN000026,ACC-G0003,ACC-G0090,1519.07,2026-05-07T15:38:01,ACH,
TXN000012,ACC-F006,ACC-G0194,211.09,2026-05-07T15:43:48,Credit Card,
TXN001110,ACC-X004,ACC-X005,115640.0,2026-05-07T16:00:00,ACH,stealth-hop
TXN000668,ACC-G0144,ACC-G0081,641.14,2026-05-07T16:42:51,Cheque,
TXN001082,ACC-T001,ACC-P001,5780.0,2026-05-07T17:02:00,ACH,ato-history
TXN000346,ACC-P001,ACC-G0085,234.16,2026-05-07T17:08:02,Cheque,
TXN000119,ACC-G0002,ACC-G0022,1364.8,2026-05-07T17:26:39,Credit Card,
TXN000147,ACC-G0027,ACC-G0144,1149.22,2026-05-07T18:17:59,Credit Card,
TXN000629,ACC-G0017,ACC-G0134,870.99,2026-05-07T19:05:16,Cheque,
TXN000058,ACC-G0107,ACC-G0005,3651.4,2026-05-07T19:22:22,Credit Card,
TXN000188,ACC-G0044,ACC-G0034,283.69,2026-05-07T20:47:07,Credit Card,
TXN000262,ACC-G0097,ACC-G0060,1014.13,2026-05-07T23:58:08,Cash,
TXN001013,ACC-V001,ACC-P001,5100.0,2026-05-08T00:54:00,ACH,victim-history
TXN000798,ACC-G0162,ACC-G0166,210.07,2026-05-08T05:48:17,Cheque,
TXN000197,ACC-G0205,ACC-G0036,184.08,2026-05-08T07:09:00,ACH,
TXN000354,ACC-G0206,ACC-G0086,497.24,2026-05-08T08:47:28,Wire,
TXN000305,ACC-G0075,ACC-G0150,10510.57,2026-05-08T08:52:25,Cheque,
TXN000127,ACC-G0023,ACC-G0064,447.7,2026-05-08T09:22:03,ACH,
TXN000251,ACC-G0056,ACC-G0059,8837.4,2026-05-08T09:47:37,Credit Card,
TXN000271,ACC-G0063,ACC-G0026,192.86,2026-05-08T10:05:15,Credit Card,
TXN000532,ACC-G0081,ACC-G0120,2244.34,2026-05-08T10:41:18,Credit Card,
TXN000183,ACC-G0033,ACC-G0160,528.57,2026-05-08T10:45:09,Wire,
TXN000077,ACC-G0038,ACC-G0010,1446.63,2026-05-08T10:51:50,Cheque,
TXN000868,ACC-G0180,ACC-G0171,7363.52,2026-05-08T10:55:56,ACH,
TXN001112,ACC-X002,ACC-X003,91317.36,2026-05-08T11:00:00,ACH,stealth-hop
TXN000956,ACC-G0178,ACC-G0197,394.2,2026-05-08T11:18:42,Wire,
TXN000009,ACC-F005,ACC-G0112,450.57,2026-05-08T11:22:36,ACH,
TXN000360,ACC-G0209,ACC-G0086,2184.89,2026-05-08T11:38:28,ACH,
TXN000884,ACC-G0167,ACC-G0182,1359.25,2026-05-08T11:43:41,Cheque,
TXN001116,ACC-X007,ACC-X008,126910.0,2026-05-08T12:00:00,ACH,stealth-hop
TXN000231,ACC-G0098,ACC-G0048,235.28,2026-05-08T12:25:29,Wire,
TXN000087,ACC-G0104,ACC-G0012,1268.36,2026-05-08T12:50:39,Cheque,
TXN000152,ACC-G0054,ACC-G0027,20250.7,2026-05-08T13:46:54,Cash,
TXN000694,ACC-G0103,ACC-G0150,254.34,2026-05-08T13:47:42,Bitcoin,
TXN000217,ACC-G0106,ACC-G0042,42.13,2026-05-08T14:10:43,Cheque,
TXN001113,ACC-X006,ACC-X007,141848.0,2026-05-08T15:00:00,ACH,stealth-hop
TXN000829,ACC-G0172,ACC-G0026,4627.26,2026-05-08T15:08:01,ACH,
TXN000315,ACC-F005,ACC-G0079,1304.16,2026-05-08T15:17:34,Wire,
TXN000373,ACC-G0202,ACC-G0086,2398.63,2026-05-08T15:40:50,Cheque,
TXN000021,ACC-G0054,ACC-F006,113.61,2026-05-08T15:40:52,Cheque,
TXN001115,ACC-X004,ACC-X005,111551.3,2026-05-08T16:00:00,ACH,stealth-hop
TXN000177,ACC-G0032,ACC-G0015,404.34,2026-05-08T16:25:28,ACH,
TXN000003,ACC-F002,ACC-G0134,829.45,2026-05-08T16:27:06,Wire,
TXN000747,ACC-G0158,ACC-G0051,88.96,2026-05-08T16:37:37,Cheque,
TXN001117,ACC-X008,ACC-X001,134960.0,2026-05-08T17:00:00,ACH,stealth-hop
TXN000290,ACC-G0070,ACC-G0078,493.26,2026-05-08T17:02:25,ACH,
TXN000855,ACC-G0177,ACC-G0127,2349.82,2026-05-08T17:19:29,Cheque,
TXN000955,ACC-G0197,ACC-G0178,4706.56,2026-05-08T17:37:36,Credit Card,
TXN000982,ACC-G0202,ACC-G0101,6497.66,2026-05-08T17:41:50,ACH,
TXN000043,ACC-G0097,ACC-G0003,1790.3,2026-05-08T18:22:54,Credit Card,
