session_id,account,device_fingerprint,ip,login_result,timestamp,password_reset_flag
SES000454,ACC-G0065,DFP-BG-0065,10.92.144.6,success,2026-05-03T12:29:58,False
SES001412,ACC-R001,DFP-BG-R001,10.57.233.5,success,2026-05-03T12:54:41,False
SES001211,ACC-G0182,DFP-BG-0182,10.166.152.163,success,2026-05-03T13:08:46,False
SES001148,ACC-G0172,DFP-BG-0172,10.18.197.40,success,2026-05-03T13:13:16,False
SES000722,ACC-G0107,DFP-BG-0107,10.56.112.30,success,2026-05-03T13:17:14,False
SES001141,ACC-G0171,DFP-BG-0171,10.67.158.14,success,2026-05-03T13:37:23,False
SES001083,ACC-G0163,DFP-BG-0163,10.188.206.240,success,2026-05-03T14:06:46,False
SES000472,ACC-G0069,DFP-BG-0069,10.57.251.44,success,2026-05-03T14:07:23,False
SES000845,ACC-G0126,DFP-BG-0126,10.182.70.206,success,2026-05-03T14:08:50,False
SES000119,ACC-G0012,DFP-BG-0012,10.19.5.65,success,2026-05-03T14:15:45,False
SES000140,ACC-G0015,DFP-BG-0015,10.85.85.12,success,2026-05-03T15:17:41,False
SES000249,ACC-G0031,DFP-BG-0031,10.45.54.112,success,2026-05-03T15:24:58,False
SES000552,ACC-G0081,DFP-BG-0081,10.66.225.94,success,2026-05-03T15:32:28,False
SES000598,ACC-G0089,DFP-BG-0089,10.50.44.207,success,2026-05-03T15:39:59,False
SES000926,ACC-G0140,DFP-BG-0140,10.121.104.84,success,2026-05-03T15:56:18,False
SES000348,ACC-G0047,DFP-BG-0047,10.160.46.163,success,2026-05-03T16:05:10,False
SES000986,ACC-G0149,DFP-BG-0149,10.104.144.242,success,2026-05-03T16:14:46,False
SES000780,ACC-G0117,DFP-BG-0117,10.14.13.246,success,2026-05-03T16:39:58,False
SES001384,ACC-G0208,DFP-BG-0208,10.167.251.73,success,2026-05-03T17:27:52,False
SES000045,ACC-F006,DFP-BG-F006,10.96.150.203,success,2026-05-03T17:50:42,False
SES000984,ACC-G0149,DFP-BG-0149,10.104.144.242,success,2026-05-03T18:17:46,False
SES000098,ACC-G0009,DFP-BG-0009,10.81.158.151,success,2026-05-03T18:38:51,False
SES001091,ACC-G0164,DFP-BG-0164,10.242.107.44,success,2026-05-03T19:03:08,False
SES000413,ACC-G0057,DFP-BG-0057,10.6.66.85,success,2026-05-03T19:08:40,False
SES000861,ACC-G0129,DFP-BG-0129,10.18.177.252,success,2026-05-03T19:30:08,False
SES001060,ACC-G0160,DFP-BG-0160,10.255.160.246,success,2026-05-03T20:27:44,False
SES000416,ACC-G0058,DFP-BG-0058,10.98.228.237,success,2026-05-03T20:39:21,False
SES000629,ACC-G0093,DFP-BG-0093,10.78.14.159,success,2026-05-03T20:40:01,False
SES000532,ACC-G0078,DFP-BG-0078,10.51.76.7,success,2026-05-03T21:14:56,False
SES000700,ACC-G0104,DFP-BG-0104,10.180.124.169,success,2026-05-03T22:03:13,False
SES000215,ACC-G0027,DFP-BG-0027,10.32.175.8,success,2026-05-04T01:17:48,False
SES000664,ACC-G0098,DFP-BG-0098,10.165.219.203,success,2026-05-04T01:44:00,False
SES000033,ACC-F004,DFP-BG-F004,10.101.145.45,success,2026-05-04T03:43:08,False
SES000890,ACC-G0134,DFP-BG-0134,10.120.225.167,success,2026-05-04T04:53:02,False
SES001113,ACC-G0168,DFP-BG-0168,10.251.88.122,success,2026-05-04T05:01:39,False
SES000494,ACC-G0072,DFP-BG-0072,10.170.70.206,success,2026-05-04T06:22:23,False
SES000631,ACC-G0094,DFP-BG-0094,10.56.235.238,success,2026-05-04T07:18:16,False
SES000949,ACC-G0143,DFP-BG-0143,10.64.125.199,success,2026-05-04T07:26:32,False
SES000560,ACC-G0082,DFP-BG-0082,10.47.178.120,success,2026-05-04T07:46:06,False
SES001406,ACC-P002,DFP-BG-P002,10.194.63.24,success,2026-05-04T08:13:07,False
SES001282,ACC-G0193,DFP-BG-0193,10.225.219.202,success,2026-05-04T08:16:48,False
SES001085,ACC-G0163,DFP-BG-0163,10.188.206.240,success,2026-05-04T08:33:37,False
SES000276,ACC-G0035,DFP-BG-0035,10.81.11.141,success,2026-05-04T08:48:50,False
SES000694,ACC-G0102,DFP-BG-0102,10.71.53.83,success,2026-05-04T08:55:09,False
SES000038,ACC-F005,DFP-BG-F005,10.173.107.79,success,2026-05-04T08:59:08,False
SES000967,ACC-G0146,DFP-BG-0146,10.42.77.230,success,2026-05-04T09:31:21,False
SES000305,ACC-G0039,DFP-BG-0039,10.10.201.143,success,2026-05-04T09:38:44,False
SES000332,ACC-G0044,DFP-BG-0044,10.139.74.223,success,2026-05-04T09:46:56,False
SES000217,ACC-G0027,DFP-BG-0027,10.32.175.8,success,2026-05-04T09:50:00,False
SES001005,ACC-G0152,DFP-BG-0152,10.120.178.124,success,2026-05-04T09:56:57,False
SES000727,ACC-G0108,DFP-BG-0108,10.137.253.53,success,2026-05-04T09:58:44,False
SES000797,ACC-G0119,DFP-BG-0119,10.102.58.18,success,2026-05-04T10:06:30,False
SES000251,ACC-G0032,DFP-BG-0032,10.223.119.58,success,2026-05-04T10:07:05,False
SES000364,ACC-G0049,DFP-BG-0049,10.115.89.20,success,2026-05-04T10:30:18,False
SES000477,ACC-G0070,DFP-BG-0070,10.171.92.174,success,2026-05-04T10:31:42,False
SES000743,ACC-G0111,DFP-BG-0111,10.180.154.182,success,2026-05-04T10:33:46,False
SES001040,ACC-G0157,DFP-BG-0157,10.212.10.4,success,2026-05-04T10:41:36,False
SES000265,ACC-G0033,DFP-BG-0033,10.163.186.205,success,2026-05-04T10:54:45,False
SES000787,ACC-G0118,DFP-BG-0118,10.28.138.213,success,2026-05-04T11:06:52,False
SES001247,ACC-G0188,DFP-BG-0188,10.251.120.97,success,2026-05-04T11:13:07,False
SES000127,ACC-G0014,DFP-BG-0014,10.17.110.114,success,2026-05-04T11:19:28,False
SES001411,ACC-R001,DFP-BG-R001,10.57.233.5,success,2026-05-04T11:19:53,False
SES000362,ACC-G0049,DFP-BG-0049,10.115.89.20,success,2026-05-04T11:43:15,False
SES001323,ACC-G0199,DFP-BG-0199,10.32.67.134,success,2026-05-04T12:30:12,False
SES001324,ACC-G0199,DFP-BG-0199,10.32.67.134,success,2026-05-04T13:13:38,False
SES001076,ACC-G0162,DFP-BG-0162,10.69.84.135,success,2026-05-04T13:21:06,False
SES001150,ACC-G0172,DFP-BG-0172,10.18.197.40,success,2026-05-04T13:40:11,False
SES000825,ACC-G0123,DFP-BG-0123,10.235.71.72,success,2026-05-04T13:43:30,False
SES000334,ACC-G0044,DFP-BG-0044,10.139.74.223,success,2026-05-04T13:44:36,False
SES001435,ACC-R006,DFP-BG-R006,10.65.165.169,success,2026-05-04T13:47:53,False
SES001381,ACC-G0208,DFP-BG-0208,10.167.251.73,success,2026-05-04T13:51:32,False
SES000655,ACC-G0097,DFP-BG-0097,10.221.228.109,success,2026-05-04T14:27:12,False
SES000482,ACC-G0071,DFP-BG-0071,10.228.244.209,success,2026-05-04T14:46:17,False
SES000932,ACC-G0140,DFP-BG-0140,10.121.104.84,success,2026-05-04T14:51:20,False
SES001048,ACC-G0158,DFP-BG-0158,10.125.195.5,success,2026-05-04T15:21:09,False
SES000720,ACC-G0106,DFP-BG-0106,10.136.14.122,success,2026-05-04T15:41:15,False
SES001340,ACC-G0202,DFP-BG-0202,10.93.99.200,success,2026-05-04T15:59:39,False
SES001036,ACC-G0157,DFP-BG-0157,10.212.10.4,success,2026-05-04T16:50:25,False
SES000142,ACC-G0016,DFP-BG-0016,10.188.22.18,success,2026-05-04T16:50:59,False
SES001031,ACC-G0156,DFP-BG-0156,10.10.52.129,success,2026-05-04T17:24:41,False
SES001199,ACC-G0180,DFP-BG-0180,10.230.190.200,success,2026-05-04T17:27:34,False
SES001222,ACC-G0184,DFP-BG-0184,10.216.205.6,success,2026-05-04T17:36:16,False
SES001272,ACC-G0191,DFP-BG-0191,10.67.150.17,success,2026-05-04T17:53:21,False
SES001118,ACC-G0168,DFP-BG-0168,10.251.88.122,success,2026-05-04T18:17:54,False
SES000644,ACC-G0095,DFP-BG-0095,10.91.16.31,success,2026-05-04T19:01:20,False
SES000212,ACC-G0026,DFP-BG-0026,10.230.108.48,success,2026-05-04T19:10:05,False
SES000226,ACC-G0028,DFP-BG-0028,10.122.184.171,success,2026-05-04T19:17:44,False
SES000869,ACC-G0131,DFP-BG-0131,10.218.70.30,success,2026-05-04T19:57:23,False
SES000593,ACC-G0088,DFP-BG-0088,10.63.255.167,success,2026-05-04T20:29:27,False
SES000748,ACC-G0112,DFP-BG-0112,10.220.184.53,success,2026-05-04T21:56:40,False
SES000286,ACC-G0036,DFP-BG-0036,10.83.70.114,success,2026-05-04T22:41:21,False
SES001201,ACC-G0180,DFP-BG-0180,10.230.190.200,success,2026-05-05T00:59:45,False
SES000927,ACC-G0140,DFP-BG-0140,10.121.104.84,success,2026-05-05T04:38:50,False
SES000507,ACC-G0074,DFP-BG-0074,10.54.37.123,success,2026-05-05T06:41:02,False
SES000501,ACC-G0074,DFP-BG-0074,10.54.37.123,success,2026-05-05T07:04:00,False
SES000483,ACC-G0071,DFP-BG-0071,10.228.244.209,success,2026-05-05T07:08:11,False
SES001503,ACC-X001,DFP-STEALTH-00,192.0.2.40,success,2026-05-05T08:00:00,False
SES001375,ACC-G0207,DFP-BG-0207,10.239.116.118,success,2026-05-05T08:26:27,False
SES000464,ACC-G0067,DFP-BG-0067,10.173.43.52,success,2026-05-05T09:34:44,False
SES000459,ACC-G0066,DFP-BG-0066,10.10.56.212,success,2026-05-05T10:05:17,False
SES000203,ACC-G0024,DFP-BG-0024,10.196.203.181,success,2026-05-05T10:13:59,False
SES000192,ACC-G0023,DFP-BG-0023,10.29.197.238,success,2026-05-05T10:29:43,False
SES000193,ACC-G0023,DFP-BG-0023,10.29.197.238,success,2026-05-05T10:38:37,False
SES001305,ACC-G0197,DFP-BG-0197,10.86.246.45,success,2026-05-05T10:49:46,False
SES001178,ACC-G0176,DFP-BG-0176,10.191.2.123,success,2026-05-05T10:59:08,False
SES000283,ACC-G0036,DFP-BG-0036,10.83.70.114,success,2026-05-05T11:27:43,False
SES000340,ACC-G0046,DFP-BG-0046,10.65.132.3,success,2026-05-05T11:47:17,False
SES000380,ACC-G0052,DFP-BG-0052,10.222.2.92,success,2026-05-05T11:47:21,False
SES001246,ACC-G0188,DFP-BG-0188,10.251.120.97,success,2026-05-05T11:54:07,False
SES000124,ACC-G0013,DFP-BG-0013,10.82.87.215,success,2026-05-05T12:11:13,False
SES000957,ACC-G0144,DFP-BG-0144,10.240.51.33,success,2026-05-05T12:35:15,False
SES000439,ACC-G0062,DFP-BG-0062,10.177.188.84,success,2026-05-05T12:39:18,False
SES000811,ACC-G0122,DFP-BG-0122,10.227.21.233,success,2026-05-05T12:46:29,False
SES000373,ACC-G0051,DFP-BG-0051,10.4.51.111,success,2026-05-05T12:58:31,False
SES001509,ACC-X002,DFP-STEALTH-01,192.0.2.41,success,2026-05-05T13:01:00,False
SES001185,ACC-G0178,DFP-BG-0178,10.203.39.166,success,2026-05-05T13:02:13,False
SES000092,ACC-G0008,DFP-BG-0008,10.35.232.15,success,2026-05-05T13:30:47,False
SES001487,ACC-T001,DFP-C4E9-HOME,198.51.100.17,success,2026-05-05T14:04:00,False
SES000796,ACC-G0119,DFP-BG-0119,10.102.58.18,success,2026-05-05T14:07:33,False
SES000540,ACC-G0079,DFP-BG-0079,10.173.148.93,success,2026-05-05T14:31:06,False
SES000950,ACC-G0143,DFP-BG-0143,10.64.125.199,success,2026-05-05T14:40:56,False
SES000008,ACC-E001,DFP-BG-E001,10.210.119.222,success,2026-05-05T15:16:22,False
SES001212,ACC-G0182,DFP-BG-0182,10.166.152.163,success,2026-05-05T15:27:57,False
SES000180,ACC-G0021,DFP-BG-0021,10.246.10.196,success,2026-05-05T16:12:09,False
SES000054,ACC-G0002,DFP-BG-0002,10.191.130.141,success,2026-05-05T16:18:28,False
SES001470,ACC-T002,DFP-BG-T002,10.151.199.231,success,2026-05-05T16:19:00,False
SES001369,ACC-G0206,DFP-BG-0206,10.37.166.251,success,2026-05-05T17:04:55,False
SES001515,ACC-X003,DFP-STEALTH-02,192.0.2.42,success,2026-05-05T18:02:00,False
SES001415,ACC-R002,DFP-BG-R002,10.199.241.5,success,2026-05-05T18:11:36,False
SES000260,ACC-G0033,DFP-BG-0033,10.163.186.205,success,2026-05-05T18:18:53,False
SES000254,ACC-G0032,DFP-BG-0032,10.223.119.58,success,2026-05-05T18:24:36,False
SES000449,ACC-G0064,DFP-BG-0064,10.105.226.57,success,2026-05-05T19:05:31,False
SES000475,ACC-G0070,DFP-BG-0070,10.171.92.174,success,2026-05-05T19:43:19,False
SES000548,ACC-G0080,DFP-BG-0080,10.34.143.148,success,2026-05-05T20:36:31,False
SES000460,ACC-G0066,DFP-BG-0066,10.10.56.212,success,2026-05-05T20:38:00,False
SES000765,ACC-G0114,DFP-BG-0114,10.232.20.56,success,2026-05-05T21:45:17,False
SES001521,ACC-X004,DFP-STEALTH-03,192.0.2.43,success,2026-05-05T23:03:00,False
SES000833,ACC-G0124,DFP-BG-0124,10.165.118.252,success,2026-05-05T23:36:35,False
SES000065,ACC-G0004,DFP-BG-0004,10.140.97.181,success,2026-05-05T23:48:45,False
SES000306,ACC-G0039,DFP-BG-0039,10.10.201.143,success,2026-05-06T00:28:51,False
SES000138,ACC-G0015,DFP-BG-0015,10.85.85.12,success,2026-05-06T02:41:20,False
SES001527,ACC-X005,DFP-STEALTH-04,192.0.2.44,success,2026-05-06T04:04:00,False
SES000516,ACC-G0076,DFP-BG-0076,10.39.239.123,success,2026-05-06T06:23:41,False
SES001317,ACC-G0198,DFP-BG-0198,10.116.103.94,success,2026-05-06T06:38:17,False
SES001074,ACC-G0162,DFP-BG-0162,10.69.84.135,success,2026-05-06T08:04:00,False
SES001533,ACC-X006,DFP-STEALTH-05,192.0.2.45,success,2026-05-06T08:05:00,False
SES000638,ACC-G0094,DFP-BG-0094,10.56.235.238,success,2026-05-06T09:00:57,False
SES000575,ACC-G0085,DFP-BG-0085,10.219.175.247,success,2026-05-06T09:26:30,False
SES000451,ACC-G0064,DFP-BG-0064,10.105.226.57,success,2026-05-06T09:31:46,False
SES000625,ACC-G0093,DFP-BG-0093,10.78.14.159,success,2026-05-06T09:57:14,False
SES000047,ACC-G0001,DFP-BG-0001,10.191.255.133,success,2026-05-06T10:23:33,False
SES000113,ACC-G0011,DFP-BG-0011,10.34.111.233,success,2026-05-06T10:32:02,False
SES001193,ACC-G0179,DFP-BG-0179,10.83.203.175,success,2026-05-06T10:36:32,False
SES001256,ACC-G0189,DFP-BG-0189,10.162.200.58,success,2026-05-06T11:00:34,False
SES001447,ACC-R007,DFP-BG-R007,10.136.67.84,success,2026-05-06T11:00:36,False
SES001329,ACC-G0201,DFP-BG-0201,10.208.138.127,success,2026-05-06T11:30:32,False
SES000297,ACC-G0038,DFP-BG-0038,10.195.140.162,success,2026-05-06T11:41:44,False
SES000207,ACC-G0025,DFP-BG-0025,10.203.157.2,success,2026-05-06T11:45:08,False
SES000775,ACC-G0116,DFP-BG-0116,10.154.156.22,success,2026-05-06T11:56:53,False
SES000163,ACC-G0019,DFP-BG-0019,10.147.12.59,success,2026-05-06T12:00:04,False
SES000910,ACC-G0138,DFP-BG-0138,10.6.63.79,success,2026-05-06T12:01:28,False
SES001008,ACC-G0152,DFP-BG-0152,10.120.178.124,success,2026-05-06T12:20:42,False
SES001154,ACC-G0173,DFP-BG-0173,10.190.193.169,success,2026-05-06T12:21:21,False
SES000835,ACC-G0125,DFP-BG-0125,10.146.115.52,success,2026-05-06T12:33:51,False
SES000450,ACC-G0064,DFP-BG-0064,10.105.226.57,success,2026-05-06T12:52:55,False
SES001090,ACC-G0164,DFP-BG-0164,10.242.107.44,success,2026-05-06T13:00:20,False
SES001539,ACC-X007,DFP-STEALTH-06,192.0.2.46,success,2026-05-06T13:06:00,False
SES001062,ACC-G0160,DFP-BG-0160,10.255.160.246,success,2026-05-06T13:07:10,False
SES001293,ACC-G0195,DFP-BG-0195,10.132.140.153,success,2026-05-06T14:19:30,False
SES000674,ACC-G0099,DFP-BG-0099,10.33.197.73,success,2026-05-06T14:37:24,False
SES001258,ACC-G0189,DFP-BG-0189,10.162.200.58,success,2026-05-06T15:06:24,False
SES001315,ACC-G0198,DFP-BG-0198,10.116.103.94,success,2026-05-06T15:41:54,False
SES001127,ACC-G0169,DFP-BG-0169,10.162.86.232,success,2026-05-06T15:53:53,False
SES000359,ACC-G0048,DFP-BG-0048,10.69.245.128,success,2026-05-06T15:56:48,False
SES001131,ACC-G0170,DFP-BG-0170,10.60.174.120,success,2026-05-06T16:11:20,False
SES000827,ACC-G0124,DFP-BG-0124,10.165.118.252,success,2026-05-06T16:24:48,False
SES001157,ACC-G0173,DFP-BG-0173,10.190.193.169,success,2026-05-06T16:28:51,False
SES001133,ACC-G0170,DFP-BG-0170,10.60.174.120,success,2026-05-06T17:13:40,False
SES001475,ACC-T002,DFP-BG-T002,10.151.199.231,success,2026-05-06T17:51:15,False
SES001545,ACC-X008,DFP-STEALTH-07,192.0.2.47,success,2026-05-06T18:07:00,False
SES001115,ACC-G0168,DFP-BG-0168,10.251.88.122,success,2026-05-06T19:08:05,False
SES000452,ACC-G0065,DFP-BG-0065,10.92.144.6,success,2026-05-06T19:52:25,False
SES000693,ACC-G0102,DFP-BG-0102,10.71.53.83,success,2026-05-06T20:37:29,False
SES000036,ACC-F005,DFP-BG-F005,10.173.107.79,success,2026-05-06T20:51:39,False
SES001271,ACC-G0191,DFP-BG-0191,10.67.150.17,success,2026-05-06T22:32:41,False
SES001300,ACC-G0196,DFP-BG-0196,10.225.150.40,success,2026-05-06T22:41:09,False
SES000097,ACC-G0009,DFP-BG-0009,10.81.158.151,success,2026-05-07T00:09:28,False
SES001105,ACC-G0166,DFP-BG-0166,10.128.61.143,success,2026-05-07T00:19:21,False
SES000753,ACC-G0112,DFP-BG-0112,10.220.184.53,success,2026-05-07T06:33:44,False
